Label,Tweets
0,@r_witherspoon I can not believe that this is happening! I will try and spread this petition myself! This is very SAD 
1,@GageG i saw that..but its better if i get someone like @Ashleytisdale to confirm that. 
0,Lookin forward to cabarete. I miss the pkra by two days 
1,@Juicyfruit4u Ok cool atleast you making more twice in the same time 
1,@conceptDawg Imagine that if you asked some of the places 'what are some good chick rock grunge bands' you might get a few grumpy snobs 
1,@Madison_mae  that you are 
1,wants to buy that shorts @ Mango. 
1,@abacab1975 really??? 
0,@aufsaibelle where are you?? it's fucking cold where i am tooooo 
0,wonders if there are any local online art consignment shops for us southcoast artists? The place I sold a lot of my art went outa biz 
1,"@imrananwar OMG,u went to St.Pauls? I went to St.Joseph's Convent...CRAZY!!!! "
1,@sunnyknight12 Hey..Thanks for the compliments. I donÃ¯Â¿Â½t think itÃ¯Â¿Â½s that gr8. Still need to do a lot 
0,"I've read the book twice and understood it perfectly well, yet I have absolutely no idea what's happening in the tv adaptation! "
0,I'm going to need at least one more cup of coffee to get through this nightshift. Head is not in a good place right now 
0,doesn't know what a guy's gotta do to win that #squarespace contest. 
0,Making themes for my phone =D review starts tomorrow 
0,Gaaah  So annoyed I can't go to West End Live   
1,Just heard Paranoid on the radio for the first time!!! Totally blasted it going down the road. 
1,@sparklegem Thanks for the article on pastor tweeting. I just e-mailed it to my priest! He's just crazy enough to try it. 
1,@trakklaya thanks sweetie 
1,sorry!!! !!bath and bodyworks is having annual sale!!   ...
0,@MistahFAB You never responded to my DM  LOL
0,Going to study for finals 
1,Talking to my grandma on Yahoo Messenger.   
0,"Have no cell phone service so if u send me a msg, be patient, esp if I am out and about and not in front of my computer!  This SUX!"
1,"had the funnest night last night, dressed up as a salior and got plenty drunkkk "
1,"@zackdft Tweet #Jizzersforlife  We're FBR fans, we're jizztastic, and we're trying to make it onto the TT. Help us out? Thanks!"
1,@Jae_1124 you weren't thinking. the margaritas were thinking 4 u. 
0,@maygunrose Australia!  i want it to hurry up and come out :@
1,home now  harry +.+ i think i could fall in love muahahah
1,@Alyssa_Milano You REALLY love baseball. No joke. You were very serious about that statement. 
1,@djblackceasar I NEVER get in trouble! Ima BOSS  hehe
0,@mkacampora tomorrows no good. This week prolly won't happen either 
0,@dolceshan they forgot my bacon on my pizza...highlight of the entire freakin thing!!! i was starving and cuz of it i lost my appetite 
0,goodbye Ed on the Bachelorette ! 
0,#WhyITweet - I have an addiction to it. I need twitter rehab. 
1,@hielmy yup got it  Thanks.
0,I need to get rid of some of my artwork. 3 years of the stuff really piles up. I don't have the heart to throw any of it though 
1,@famous_rockstar i was watching gone in 60 secs earlier u know u cant go wrong with that. yeah i am 
1,"Heading to bed... Had a boring day and a bad night, but WWDC's tomorrow, so goodnight! "
1,@barbaran61 Still waiting for the answer to the Superman question. Can't leave my tweetie till I know 
1,U0 is my hubby though ... 
0,is loving 'how i met your mother'. the show is completely awesome. watching a couple of eps and heading to bed. early start tomorrow 
1,"@jakehumphreyf1 Maybe you Eddie and DC can wear red white and blue shirts, please don't wear pink that's for Jenson's Dad "
1,@MissFarrah u did look pretty though 
0,@sheikbox 
1,i love my new shampoo 
0,"Having dinner at Blue Bayou, river view! Happy birthday, Richard! wish I could ride Star Tours. "
1,going to the mall with colie 
1,"@joshaidan no, i was tweet'n before and after the film, but yes at the movies "
0,I want Sims 3. There's none for Mac in GH 
0,"Kinda glad I didn't go out today, this coursework won't do itself "
1,Meeting w/ TGC folk about living together in Chlesea next year! Exciting stuff 
0,can't believe that Gokey is gone! 
1,@sofiesunshine  THAT IS MY FAVOURITE FILM!  I GET CALLED TRACY ALL THE TIME!  lmfao! x
1,"@xo_mcflyandjb hah thanks, i bet you are confused "
0,Hello everybody...try not to fall a sleep. because thunderstorm kept met awake all night 
0,@Harley__Quinn ashhh ok  I'll call him then..
1,At the castro but heading to ybca. Fun night ahead! 
0,"@rhogart, at least you corrected yourself. People ask me how it is in AK all the time. LOL. How are wendy and chris? My internet is dead. "
0,@papertimelady running is my 2nd most hated exercise(ergs = death) but le gym is shut and i haven't lifted anything heavy in over a month 
1,@eviness Im like the worst friend for not coming tonight! I suck! Stupid head colds. We should have a mucus party...ew  lol
1,Watchin 'TMZ'   
0,My phone battery dies so fast 
0,A tribute to my car...   http://tinysong.com/40PJ
1,@KarlynM - can i get a price quote today? i'm past deadline! j/k enjoy ur time off 
1,@merlyn383  - Are you at the Apple store today? @chriscavallucci &amp; @lwcavallucci need your help 
0,@StevieHart Is that where your name comes from?  Stevie is the king IMO.  He was here last year but I was in Cuba so I missed it. 
1,Good morning! Going shopping today. That always makes me smile 
0,.....i need a vaccination before i got to the philippines 
1,@kyleandjackieo Eurovision final 
0,"@GenMom if the caffeine doesn't work, the next step is chopping my head off. this is a bad one "
1,"@Esme_Cullen26 oh okey, i have forget that. haha then i must say happy moms day to my mum "
0,"Watching a movie, missing Shawn and feeling crappy. "
1,@Eliza_Dushku_ have you considered visiting in Omaha? @maukingbird and I would totally take you to the zoo and be all touristy 
1,@Sepulchura doubt he is on the social though 
0,"Enjoy today's weather as much as you can boys, BBC news said torrential thunderstorms are predicted for tomorrow  @marklee76 @skog83 soz!"
0,@YungUniversity  sad day
0,Thinking maybe I should get my daughter a new dad and my wife a new husband for fathers day... Too bad I'm a piece of shit 
1,"but sersiously, 3#hotwords no more school "
1,"@Ruth_Z thank U thank U thank U ,you r the sweetest ever "
0,@balaji_dutt i can't seem to place reference points. 
0,@Zadi foodporn... Ooooh...  you tease
0,@Aidsmouth 
1,"great first evening performance, great audience     church, hangouts.   You know those moments where you know someone you love is there?"
1,high on insomnia. 
1,@theBrandiCyrus me too let's just hope 
0,@racheltoth i fbed this to you to but i cant find my swimsuit so we cant go...im so sorry 
1,Yay I got accepted. This weekend can't get better. 
0,so sad right now  some really great photos ruined by my mother. can't believe she ruined my entire roll of film and then just went oh well
1,"Jujubes sugar crash. Must sleep. Night, all - sweet dreams "
0,Should have brought back up camera batteries... 
1,"I got this giant thing on the inside of my mouth. If I didn't know better, I'd think a pimple was growing inside my lips. "
1,is really sleepy! Goodnight! 
0,"@xorem Awww  too bad I'm not there yet to help. Ima GREAT organizer, my closet is perfect (well was, not everything is basically packed)"
0,How Is my city Mao? A friend say the park is closing I dont know for what 
1,REMEMBER: Peter Schiff is going to be on the Daily Show on June 9th. This should be good  #tlot #economics #tcot
1,Laying on bed surrounded by revision books 
1,"@_Jurriaan_ I'm sorry about your friend, take care of yourself though "
0,cant wait till school holidays - but has so much work to do that it wont even feel likes hols 
1,ok guys so ive nt been active on twitter all this time...but after ptu2 i caught on to it as well...so welcome to me 
0,feels the need to drink a large amount of alcohol this weekend. dam every1 having mid years 
1,"fuck college, i'm just gonna marry rich. : fuck college, i'm just gonna marry rich.  http://bit.ly/MgIC4"
0,@_squeekss fuckin freak!!! didnt even text me back or ckall me  
0,@childofdust   *GIANTHUG* I'm online if you want to talk &lt;33 *CUDDLE*
1,@Lelliebell  I remember the wide mouth frog joke 
0,Working overtime without extra money. 
1,is excited about her upcoming Garage Sale - hope I earn lots of money for my wedding 
0,my left eye is so itchy 
1,Is thinking a day by the pool 
1,@CheeseSwan it's not your fault at all! MEGAHUGSSSSSSSS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 
1,THANK U MR RUDD!!!! 
1,Listened to Jenny Lewis songs today- In my next life can I be her??? I think she's so cool! 
0,@TheMattEvers what sun would that be 
0,Guess hat. I didn't feed the freakin dog (or the housekeeper) this morning....revenge is sweet! But someone else did 
1,Whoever invented worms was aweaome  Hurray for Supersheep!
0,"oh my god, a severed foot was foun in a wheely bin in cobham!!! where they found is literally minutes from my house! feel sick now! "
1,is glad to be followed 
0,just decided as a spy I seriously suck 
0,good morning! its June 2. 8 days before my b-day! haha!  just a cup of noodles for breakfast. not feeling better 
0,Now... I want a Kit Kat!!! 
0,...TGIF... Still no plans for the weekend  Need to think of something.
1,@rica0lucio humm ok thanks....dont worry im not gunna un-fallow U 
0,@honey408 Time for Los to get his Boom Boom Pow on! So how was your outting? Wish i could have joined ya 
1,300th!  what a way to start the new school year! .... tweet tweet...  ) :&gt;
1,Is at the rangers game with david and his family 
1,"@Pandylion i disagree highly on the blah comment, and yes your voices are different but it doesn't make you any less amazing  singng sesh?"
0,Don't get gassed! Alcohol will only make you feel worse. I miss her soooo much and I don't know what to do to stop hurting 
0,Tired and my head hurts... 
1,@leesaamarie Hi Lisa - Do you officially have the best job in the world? 
0,@REDHEADEDSLUT shit I got a scratch on my nose too.  and it wasn't from no big girl..
0,@jonaslovato Its always down when I wake up  Hopefully they fix it soon!
1,"watching little comets vids on youtube  they are hilarious. mtv cribs, 'this table was actually given to me by george michael' ;)"
0,"busy busy monday, classes til 6 "
1,@SethApper hahaha good point. I'll try again 
1,@brgd oh cool you are coming to berlin    ! ! !
0,On the way downtown 4 10 hours of dance tech and dress rehearsals. Yay. 
