Label,Tweets
Negative, SdKrn niye siz kemalin kucaðýna öyle deyince oturuyormusunuz aptal pç 
Negative,blackpink baya iyi grup lan laf söyleyemezsin sen onlara yýkýk
Negative,koskoca ismim yaziyo orda andaval kopek
Negative,Tam göt veren 
Positive,"Sal yaralý balýklarý gitsin, misina artýk çok gergin."
Positive,"Hadi kadýnlarý bir kenara koydunuz, ülkenin polisine küfür ediyor. 7 aydýr hiç mi bir adam bulunamaz ifadesi bile alýnmamýþ daha. 7 ay koskoca 7 ay kim bilir ne yaptý o 7 ayda kimlere ne yaþattý."
Positive,kime ne zararlarý oldu  masumiyetten baþka
Positive, Türkiye F listesinden çýkarýlmýþ Þimdi soruyoruz Para nerede Amerika da F nerede Amerika da 
Negative,Sizden daha ala sapýk ve tacizci olmaz  döktürtme  þimdi arþivi buraya edepsiz Lgbt savunucularý sizi
Positive,Kesinlikleeee
Positive,Üzülün ama asla pes etmeyin çocuklar. Evet hata yaptýnýz ve maçý kaybetmemize neden oldunuz
Negative,Lan adam ol ergenler gibi gel mel ne lan Siktir git betonkafana sokturma amk 
Negative,yaþýyon çogunlukta azýnlýða bok diyon
Negative,olum bu bildiðin barzo  lan
Positive,harika düðün fotoðraflarý için 10 ipucu
Negative,senin karinin amini parcalayim nikahli karini dolleyim serefiz dm  at
Negative,bunun gibileri sürmeli almanyadan aç itler
Positive,Sýfýrcýlar burdaysa gelin sarýlalým 
Negative,gerizekalý kardeþimin güneþ kremiyle yaptýðýna bakýn çabuk
Positive, Türkiye F in sitesinden silindi ABD nin Türkiye yi F yeni nesil savaþ uçaðý programýndan çýkarmasýnýn ardýndan 
Negative,Orospu çocuklarý bir tane simit 27 lira olur mu
Negative, Kaicalamity Bekle aðzýna geleceðim daha kancýk herif 
Negative,Bi bitmediniz tükenmediniz orospular
Positive,Düz yolda havalý havalý yürürken adýmýnýn yükseltiye denk gelmesi ve sendelemen
Positive,Merhaba Tarafýnýzdan talep edilen bilgileri müþteri temsilcilerine veya çözüm merkezine paylaþarak destek alabilirsiniz Saðlýklý günler dileriz 
Positive,"Lütfen, hiç olmadýðýmýz kadar özveri ve hassasiyetle tüm tedbirlere uyalým"
Positive,"Antalya'nýn Demre ilçesinde bulunan, bölgenin en çok ziyaretçi çeken ören yerlerinden Aziz Nikolaos Anýt Müzesi ile Likya Birliði'nin 6 önemli kentinden Myra Antik Kenti, koronavirüs sürecinden olumsuz etkilendi"
Negative,bi tek bunlar var baþka yok bunlar angut ya
Positive,Ýþte biz o gün tükeneceðiz 
Negative,bu çaylak yalaka výcýk fanlar ne ara türedi ya stalk yaparken gözlerim kanadý kalpatýþý
Positive,evden kovulduðumu twitle mi öðrenecektim
Positive,beyinsiz olduðum için beynimi hissetmiyorum
Negative,Adam olana çok bile aq
Positive,Bin senede okusam ne biliyorsun diye sorsalar bana haddimi bilirim derim 
Negative,þu tagý mizah için kullanmayýn artýk orospu cocuklarý videolar kayboluyo 
Negative,Ayýlar parçalasýn seni adi herif
Negative,hatalarýndan vazgeçemediðin için hep ayný boku yaþýyorsun kaderle felan alakasý yok geri zekalý kancýk 
Negative,Ben Sevgilim var Yurt arkadaþým Bu yalana inananý sikem 
Positive,Sahip olmak istedigi ve elbise giyip feminen makyajlar yaparak bürünmeye çalýþtýðý bedene yaptigi saygisizlik kiskancliktan sanirim Çünkü cinsiyet ameliyatý olmuyor ama olanlara ve doðuþtan kadýn olanlara da bok atmaktan geri kalmiyor 
